simplified	traditional	pinyin	eng	level
爱	愛	ai4	to love, affection, to be fond of, to like,	1
八	八	ba1	eight, 8,	1
爸爸	爸爸	ba4 ba5	(informal) father, CL:個|个,位[wèi],	1
杯子	杯子	bei1 zi5	cup, glass, CL:個|个,支,枝[zhī],	1
北京	北京	Bei3 jing1	Beijing, capital of People's Republic of China, Peking, PRC government,	1
本	本	ben3	roots or stems of plants, origin, source, this, the current, root, foundation, basis, classifier for books, periodicals, files etc, originally,	1
不客气	不客氣	bu4 ke4 qi5	you're welcome, impolite, rude, blunt, don't mention it,	1
不	不	bu4	(negative prefix), not, no,	1
菜	菜	cai4	dish (type of food), vegetables, vegetable, cuisine, CL:盤|盘,道[dào],	1
茶	茶	cha2	tea, tea plant, CL:杯,壺|壶[hú],	1
吃	喫	chi1	to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer,	1
吃	喫	chi1	to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer,	1
出租车	出租車	chu1 zu1 che1	taxi, (Taiwan) rental car,	1
打电话	打電話	da3 dian4 hua4	to make a telephone call,	1
大	大	da4	big, huge, large, major, great, wide, deep, oldest, eldest,	1
大	大	dai4	big, huge, large, major, great, wide, deep, oldest, eldest,	1
的	的	de5	of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis),	1
的	的	di1	of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis),	1
的	的	di2	of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis),	1
的	的	di4	of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis),	1
点	點	dian3	point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[gēng], dot stroke in Chinese characters, classifier for items,	1
电脑	電腦	dian4 nao3	computer, CL:臺|台[tái],	1
电视	電視	dian4 shi4	television, TV, CL:臺|台,個|个[gè],	1
电影	電影	dian4 ying3	movie, film, CL:部,片,幕,場|场[chǎng],	1
东西	東西	dong1 xi1	thing, stuff, person, CL:個|个,件[jiàn],	1
东西	東西	dong1 xi5	thing, stuff, person, CL:個|个,件[jiàn],	1
都	都	Du1	all, both, entirely, (used for emphasis) even, already, (not) at all,	1
都	都	dou1	all, both, entirely, (used for emphasis) even, already, (not) at all,	1
都	都	du1	all, both, entirely, (used for emphasis) even, already, (not) at all,	1
读	讀	dou4	to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pīn yīn],	1
读	讀	du2	to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pīn yīn],	1
对不起	對不起	dui4 bu5 qi3	unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat),	1
多	多	duo1	"many, much, a lot of, numerous, more, in excess, how (to what extent), multi-, Taiwan pr.  when it means ""how"","	1
多少	多少	duo1 shao3	how much, how many, which (number), as much as,	1
多少	多少	duo1 shao5	how much, how many, which (number), as much as,	1
儿子	兒子	er2 zi5	son,	1
二	二	er4	two, 2, stupid (Beijing dialect),	1
饭馆	飯館	fan4 guan3	restaurant, CL:家[jiā],	1
飞机	飛機	fei1 ji1	airplane, CL:架[jià],	1
分钟	分鍾	fen1 zhong1	minute,	1
高兴	高興	gao1 xing4	happy, glad, willing (to do sth), in a cheerful mood,	1
个	個	ge3	variant of 個|个[gè],	1
个	個	ge4	variant of 個|个[gè],	1
个	個	ge4	variant of 個|个[gè],	1
工作	工作	gong1 zuo4	to work, (of a machine) to operate, job, work, task, CL:個|个,份,項|项[xiàng],	1
狗	狗	gou3	dog, CL:隻|只,條|条[tiáo],	1
汉语	漢語	Han4 yu3	Chinese language, CL:門|门[mén],	1
好	好	hao3	good, well, proper, good to, easy to, very, so, (suffix indicating completion or readiness),	1
好	好	hao4	good, well, proper, good to, easy to, very, so, (suffix indicating completion or readiness),	1
喝	喝	he1	to drink, My goodness!,	1
喝	喝	he4	to drink, My goodness!,	1
和	和	he2	and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],	1
和	和	He2	and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],	1
和	和	he2	and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],	1
和	和	he4	and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],	1
和	和	hu2	and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],	1
和	和	huo2	and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],	1
和	和	huo4	and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],	1
和	和	he2	and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],	1
很	很	hen3	(adverb of degree), quite, very, awfully,	1
后面	後面	hou4 mian5	rear, back, behind, later, afterwards,	1
回	回	hui2	to curve, to return, to revolve,	1
