simplified	traditional	pinyin	eng	level
爱情	愛情	ai4 qing2	romance, love (romantic), CL:個|个[gè],	4
安排	安排	an1 pai2	to arrange, to plan, to set up,	4
安全	安全	an1 quan2	safe, secure, safety, security,	4
暗	暗	an4	to close (a door), to eclipse, muddled, stupid, ignorant, variant of 暗[àn],	4
暗	暗	an4	to close (a door), to eclipse, muddled, stupid, ignorant, variant of 暗[àn],	4
暗	暗	an4	to close (a door), to eclipse, muddled, stupid, ignorant, variant of 暗[àn],	4
按时	按時	an4 shi2	on time, before deadline, on schedule,	4
按照	按照	an4 zhao4	according to, in accordance with, in the light of, on the basis of,	4
包括	包括	bao1 kuo4	to comprise, to include, to involve, to incorporate, to consist of,	4
保护	保護	bao3 hu4	to protect, to defend, to safeguard, protection, CL:種|种[zhǒng],	4
保证	保證	bao3 zheng4	guarantee, to guarantee, to ensure, to safeguard, to pledge, CL:個|个[gè],	4
抱	抱	bao4	to hold, to carry (in one's arms), to hug or embrace, surround, cherish,	4
抱歉	抱歉	bao4 qian4	to be sorry, to feel apologetic, sorry!,	4
报道	報道	bao4 dao4	report, CL:篇,份[fèn],	4
报名	報名	bao4 ming2	to sign up, to enter one's name, to apply, to register, to enroll, to enlist,	4
倍	倍	bei4	(two, three etc) -fold, times (multiplier), double, to increase or multiply,	4
本来	本來	ben3 lai2	original, originally, at first, it goes without saying, of course,	4
笨	笨	ben4	stupid, foolish, silly, slow-witted, clumsy,	4
笔记本	筆記本	bi3 ji4 ben3	notebook, CL:本[běn],	4
毕业	畢業	bi4 ye4	graduation, to graduate, to finish school,	4
遍	遍	bian4	everywhere, all over, classifier for actions: one time,	4
遍	遍	bian4	everywhere, all over, classifier for actions: one time,	4
标准	標準	biao1 zhun3	(an official) standard, norm, criterion, CL:個|个[gè],	4
表达	表達	biao3 da2	to voice (an opinion), to express, to convey,	4
表格	表格	biao3 ge2	form, table, CL:張|张,份[fèn],	4
表扬	表揚	biao3 yang2	to praise, to commend,	4
饼干	餅幹	bing3 gan1	biscuit, cracker, cookie, CL:片,塊|块[kuài],	4
并且	並且	bing4 qie3	and, besides, moreover, furthermore, in addition,	4
博士	博士	bo2 shi4	doctor, court academician (in feudal China), Ph.D.,	4
不但	不但	bu4 dan4	not only (... but also...),	4
不过	不過	bu4 guo4	only, merely, no more than, but, however, anyway (to get back to a previous topic),	4
不得不	不得不	bu4 de2 bu4	have no choice or option but to, cannot but, have to, can't help it, can't avoid,	4
不管	不管	bu4 guan3	no matter (what, how), regardless of, no matter,	4
不仅	不僅	bu4 jin3	not only (this one), not just (...) but also,	4
部分	部分	bu4 fen5	part, share, section, piece, CL:個|个[gè],	4
擦	擦	ca1	to wipe, to erase, rubbing (brush stroke in painting), to clean, to polish,	4
猜	猜	cai1	to guess,	4
材料	材料	cai2 liao4	material, data, makings, stuff, CL:個|个,種|种[zhǒng],	4
参观	參觀	can1 guan1	to look around, to tour, to visit,	4
差不多	差不多	cha4 bu5 duo1	almost, nearly, more or less, about the same, good enough, not bad,	4
长城	長城	Chang2 cheng2	the Great Wall,	4
长江	長江	Chang2 Jiang1	Yangtze River, or Chang Jiang,	4
尝	嘗	chang2	to taste,	4
尝	嘗	chang2	to taste,	4
尝	嘗	chang2	to taste,	4
场	場	chang2	large place used for a specific purpose, stage, scene (of a play), classifier for sporting or recreational activities, classifier for number of exams,	4
场	場	chang3	large place used for a specific purpose, stage, scene (of a play), classifier for sporting or recreational activities, classifier for number of exams,	4
场	場	chang2	large place used for a specific purpose, stage, scene (of a play), classifier for sporting or recreational activities, classifier for number of exams,	4
场	場	chang3	large place used for a specific purpose, stage, scene (of a play), classifier for sporting or recreational activities, classifier for number of exams,	4
超过	超過	chao1 guo4	to surpass, to exceed, to outstrip,	4
吵	吵	chao3	to quarrel, to make a noise, noisy, to disturb by making a noise,	4
乘坐	乘坐	cheng2 zuo4	to ride (in a vehicle),	4
成功	成功	Cheng2 gong1	success, to succeed, CL:次,個|个[gè],	4
成功	成功	cheng2 gong1	success, to succeed, CL:次,個|个[gè],	4
成熟	成熟	cheng2 shu2	mature, ripe, to mature, to ripen, Taiwan pr. [chéng shóu],	4
成为	成爲	cheng2 wei2	to become, to turn into,	4
诚实	誠實	cheng2 shi2	honest, honesty, honorable, truthful,	4
吃惊	喫驚	chi1 jing1	to be startled, to be shocked, to be amazed,	4
重新	重新	chong2 xin1	again, once more, re-,	4
抽烟	抽煙	chou1 yan1	to smoke (a cigarette, tobacco),	4
抽烟	抽煙	chou1 yan1	to smoke (a cigarette, tobacco),	4
出差	出差	chu1 chai1	to go on an official or business trip,	4
出发	出發	chu1 fa1	to start out, to set off,	4
出生	出生	chu1 sheng1	to be born,	4
传真	傳真	chuan2 zhen1	fax, facsimile,	4
窗户	窗戶	chuang1 hu5	window, CL:個|个,扇[shàn],	4
词典	詞典	ci2 dian3	dictionary (of Chinese compound words), also written 辭典|辞典[cí diǎn], CL:部,本[běn],	4
从来	從來	cong2 lai2	always, at all times, never (if used in negative sentence),	4
粗心	粗心	cu1 xin1	careless, thoughtless,	4
答案	答案	da2 an4	answer, solution, CL:個|个[gè],	4
打扮	打扮	da3 ban5	to decorate, to dress, to make up, to adorn, manner of dressing, style of dress,	4
打扰	打擾	da3 rao3	to disturb, to bother, to trouble,	4
打印	打印	da3 yin4	to print, to seal, to stamp,	4
打折	打折	da3 zhe2	to give a discount,	4
打针	打針	da3 zhen1	to give or have an injection,	4
大概	大概	da4 gai4	roughly, probably, rough, approximate, about,	4
大使馆	大使館	da4 shi3 guan3	embassy, CL:座,個|个[gè],	4
大约	大約	da4 yue1	approximately, about,	4
戴	戴	Dai4	to put on or wear (glasses, hat, gloves etc), to respect, to bear, to support,	4
戴	戴	dai4	to put on or wear (glasses, hat, gloves etc), to respect, to bear, to support,	4
代表	代表	dai4 biao3	representative, delegate, CL:位,個|个,名[míng], to represent, to stand for, on behalf of, in the name of,	4
代替	代替	dai4 ti4	instead, to replace, to substitute (X for Y, or a number in an algebraic expression),	4
大夫	大夫	da4 fu1	doctor, minister of state (in pre-Han states), CL:個|个,位[wèi],	4
大夫	大夫	dai4 fu5	doctor, minister of state (in pre-Han states), CL:個|个,位[wèi],	4
当	當	dang1	to be, to act as, manage, withstand, when, during, ought, should, match equally, equal, same, obstruct, just at (a time or place), on the spot, right, just at,	4
当	當	dang1	to be, to act as, manage, withstand, when, during, ought, should, match equally, equal, same, obstruct, just at (a time or place), on the spot, right, just at,	4
当	當	dang4	to be, to act as, manage, withstand, when, during, ought, should, match equally, equal, same, obstruct, just at (a time or place), on the spot, right, just at,	4
当地	當地	dang1 di4	local,	4
当时	當時	dang1 shi2	then, at that time, while,	4
当时	當時	dang4 shi2	then, at that time, while,	4
刀	刀	Dao1	knife, blade, single-edged sword, cutlass, CL:把[bǎ], classifier for sets of one hundred sheets (of paper),	4
刀	刀	dao1	knife, blade, single-edged sword, cutlass, CL:把[bǎ], classifier for sets of one hundred sheets (of paper),	4
导游	導遊	dao3 you2	tour guide, guidebook, to conduct a tour,	4
到处	到處	dao4 chu4	everywhere,	4
到底	到底	dao4 di3	finally, in the end, when all is said and done, after all, to the end, to the last,	4
道歉	道歉	dao4 qian4	to apologize,	4
得意	得意	de2 yi4	proud of oneself, pleased with oneself, complacent,	4
等	等	deng3	class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once,	4
等	等	deng3	class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once,	4
等	等	deng3	class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once,	4
等	等	deng3	class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once,	4
底	底	de5	background, bottom, base, the end of a period of time, towards the end of (last month),	4
底	底	di3	background, bottom, base, the end of a period of time, towards the end of (last month),	4
地球	地球	di4 qiu2	the Earth, planet, CL:個|个[gè],	4
地址	地址	di4 zhi3	address, CL:個|个[gè],	4
掉	掉	diao4	to fall, to drop, to lag behind, to lose, to go missing, to reduce, fall (in prices), to lose (value, weight etc), to wag, to swing, to turn, to change, to exchange, to swap, to show off, to shed (hair),	4
调查	調查	diao4 cha2	investigation, inquiry, to investigate, to survey, survey, (opinion) poll, CL:項|项,個|个[gè],	4
丢	丟	diu1	to lose, to put aside, to throw,	4
动作	動作	dong4 zuo4	movement, motion, action, CL:個|个[gè],	4
堵车	堵車	du3 che1	traffic jam, choking,	4
肚子	肚子	du4 zi5	belly, abdomen, stomach, CL:個|个[gè],	4
断	斷	duan4	to break, to snap, to cut off, to give up or abstain from sth, to judge, (usu. used in the negative) absolutely, definitely,decidedly,	4
对	對	dui4	couple, pair, to be opposite, to oppose, to face, versus, for, to, correct (answer), to answer, to reply, to direct (towards sth), right,	4
对	對	dui4	couple, pair, to be opposite, to oppose, to face, versus, for, to, correct (answer), to answer, to reply, to direct (towards sth), right,	4
对	對	dui4	couple, pair, to be opposite, to oppose, to face, versus, for, to, correct (answer), to answer, to reply, to direct (towards sth), right,	4
对	對	dui4	couple, pair, to be opposite, to oppose, to face, versus, for, to, correct (answer), to answer, to reply, to direct (towards sth), right,	4
对话	對話	dui4 hua4	dialog, CL:個|个[gè],	4
对面	對面	dui4 mian4	(sitting) opposite, across (the street), directly in front, to be face to face,	4
顿	頓	dun4	to stop, to pause, to arrange, to lay out, to kowtow, to stamp (one's foot), at once, classifier for meals, beatings, scoldings etc: time, bout, spell, meal,	4
朵	朵	duo3	flower, earlobe, fig. item on both sides, classifier for flowers, clouds etc,	4
朵	朵	duo3	flower, earlobe, fig. item on both sides, classifier for flowers, clouds etc,	4
而	而	er2	and, as well as, and so, but (not), yet (not), (indicates causal relation), (indicates change of state), (indicates contrast),	4
儿童	兒童	er2 tong2	child, CL:個|个[gè],	4
发	發	fa1	to send out, to show (one's feeling), to issue, to develop, classifier for gunshots (rounds),	4
发	發	fa4	to send out, to show (one's feeling), to issue, to develop, classifier for gunshots (rounds),	4
发生	發生	fa1 sheng1	to happen, to occur, to take place, to break out,	4
发展	發展	fa1 zhan3	development, growth, to develop, to grow, to expand,	4
法律	法律	fa3 lu:4	law, CL:條|条, 套, 個|个[gè],	4
翻译	翻譯	fan1 yi4	to translate, to interpret, translator, interpreter, translation, interpretation, CL:個|个,位,名[míng],	4
烦恼	煩惱	fan2 nao3	to be worried, to be distressed, worries,	4
反对	反對	fan3 dui4	to fight against, to oppose, to be opposed to, opposition,	4
反映	反映	fan3 ying4	to mirror, to reflect, mirror image, reflection, fig. to report, to make known, to render, used erroneously for 反應|反应, response or reaction,	4
范围	範圍	fan4 wei2	range, scope, limit, extent, CL:個|个[gè],	4
方法	方法	fang1 fa3	method, way, means, CL:個|个[gè],	4
方面	方面	fang1 mian4	respect, aspect, field, side, CL:個|个[gè],	4
方向	方向	fang1 xiang4	direction, orientation, path to follow, CL:個|个[gè],	4
访问	訪問	fang3 wen4	to visit, to call on, to interview, CL:次[cì],	4
放弃	放棄	fang4 qi4	to renounce, to abandon, to give up,	4
放暑假	放暑假	fang4 shu3 jia4	The summer holidays,	4
分之	分之	fen1 zhi1	(indicating a fraction),	4
份	份	fen4	classifier for gifts, newspaper, magazine, papers, reports, contracts etc, variant of 分[fèn],	4
风景	風景	feng1 jing3	scenery, landscape, CL:個|个[gè],	4
丰富	豐富	feng1 fu4	to enrich, rich, plentiful, abundant,	4
否则	否則	fou3 ze2	if not, otherwise, else, or else,	4
符合	符合	fu2 he2	in keeping with, in accordance with, tallying with, in line with, to agree with, to accord with, to conform to, to correspond with, to manage, to handle,	4
富	富	Fu4	rich, abundant, wealthy,	4
富	富	fu4	rich, abundant, wealthy,	4
负责	負責	fu4 ze2	to be in charge of, to take responsibility for, to be to blame, conscientious,	4
复印	復印	fu4 yin4	to photocopy, to duplicate a document,	4
复杂	復雜	fu4 za2	complicated, complex,	4
父亲	父親	fu4 qin1	father, also pr. with light tone [fù qin], CL:個|个[gè],	4
改变	改變	gai3 bian4	to change, to alter, to transform,	4
干杯	幹杯	gan1 bei1	to drink a toast, Cheers! (proposing a toast), Here's to you!, Bottoms up!, lit. dry cup,	4
干燥	幹燥	gan1 zao4	to dry (of weather, paint, cement etc), desiccation, dull, uninteresting, arid,	4
感动	感動	gan3 dong4	to move (sb), to touch (sb emotionally), moving,	4
感觉	感覺	gan3 jue2	to feel, to become aware of, feeling, sense, perception, CL:個|个[gè],	4
感情	感情	gan3 qing2	feeling, emotion, sensation, likes and dislikes, deep affection for sb or sth, relationship (i.e. love affair), CL:個|个,種|种[zhǒng],	4
感谢	感謝	gan3 xie4	(express) thanks, gratitude, grateful, thankful, thanks,	4
干	幹	gan1	tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar),	4
干	幹	Gan1	tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar),	4
干	幹	gan1	tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar),	4
干	幹	gan1	tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar),	4
干	幹	Gan1	tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar),	4
干	幹	gan1	tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar),	4
干	幹	gan4	tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar),	4
刚刚	剛剛	gang1 gang5	just recently, just a moment ago,	4
高级	高級	gao1 ji2	high level, high grade, advanced, high-ranking,	4
个子	個子	ge4 zi5	height, stature, build, size,	4
各	各	ge4	each, every,	4
公里	公裏	gong1 li3	kilometer,	4
工具	工具	gong1 ju4	tool, instrument, utensil, means (to achieve a goal etc),	4
工资	工資	gong1 zi1	wages, pay, CL:個|个,份,月[yuè],	4
共同	共同	gong4 tong2	common, joint, jointly, together, collaborative,	4
够	夠	gou4	to reach, to be enough,	4
购物	購物	gou4 wu4	shopping,	4
孤单	孤單	gu1 dan1	lone, lonely, loneliness,	4
估计	估計	gu1 ji4	to estimate, to reckon, CL:個|个[gè],	4
鼓励	鼓勵	gu3 li4	to encourage,	4
鼓掌	鼓掌	gu3 zhang3	to applaud, to clap,	4
顾客	顧客	gu4 ke4	client, customer, CL:位[wèi],	4
故意	故意	gu4 yi4	deliberately, on purpose,	4
挂	掛	gua4	to hang or suspend (from a hook etc), to hang up (the phone), to be worried or concerned, to make a phone call (topolect), to register or record, to hitch, classifier for sets or clusters of objects,	4
关键	關鍵	guan1 jian4	crucial point, crux, CL:個|个[gè], key, crucial, pivotal,	4
观众	觀衆	guan1 zhong4	spectators, audience, visitors (to an exhibition etc),	4
管理	管理	guan3 li3	to supervise, to manage, to administer, management, administration, CL:個|个[gè],	4
光	光	guang1	light, ray, CL:道[dào], bright, only, merely, to use up,	4
广播	廣播	guang3 bo1	broadcast, CL:個|个[gè], broadcasting, to broadcast, (formal) to propagate, to publicize,	4
广告	廣告	guang3 gao4	to advertise, a commercial, advertisement, CL:項|项[xiàng],	4
逛	逛	guang4	to stroll, to visit,	4
规定	規定	gui1 ding4	provision, to fix, to set, to formulate, to stipulate, to provide, regulation, rule, CL:個|个[gè],	4
国际	國際	guo2 ji4	international,	4
果然	果然	guo3 ran2	really, sure enough, as expected, if indeed,	4
过	過	Guo1	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	guo4	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	guo5	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	Guo1	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	guo4	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	guo5	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	Guo1	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	guo4	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	guo5	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	Guo1	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	guo4	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过	過	guo5	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,	4
过程	過程	guo4 cheng2	course of events, process, CL:個|个[gè],	4
海洋	海洋	hai3 yang2	ocean, CL:個|个[gè],	4
害羞	害羞	hai4 xiu1	shy, embarrassed, bashful,	4
寒假	寒假	han2 jia4	winter vacation,	4
